Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Metis,Immunefi,1000000,130000,705,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-02-06,06d0baa9ae533872ee34c39f94371d6897dd93211085d3cd69884e0ac034e018
Origin DeFi (OUSD and OETH),Immunefi,1000000,12700,422,"Solidity","Stablecoin","Defi","ETH","Smart Contract,Websites and Applications",2023-07-12,a59de858d5d396978f92fcb2800cba23f8a0cda046326606cdef3b7c299e47ed
Gro,Immunefi,1000000,0,0,"Solidity","Stablecoin,Lending,AMM,Yield Aggregator","Defi","ETH","Smart Contract",2023-03-08,2bc745cd9f4b884fdc216e78efabe02ca4c3d5428fb8fc650df82fab714a18c3
PancakeSwap,Immunefi,1000000,0,0,"Solidity","DEX,AMM","Defi","BSC","Smart Contract,Websites and Applications",2023-03-08,063811d48ee26350fab16e0ad4bd983d57cd864e28470b09d479c5da5a4f53b3
Sovryn,Immunefi,1000000,0,0,"Solidity","Staking,Lending","Defi","RSK","Smart Contract,Websites and Applications",2023-05-23,d8c4f334fcdde74d589ea6889a8e61b0abf81ac4b4b47a57e8ad4217cc309374
Carbon & Bancor,Immunefi,900000,9647,709,"Solidity","DEX,AMM","Defi","ETH","Smart Contract",2023-04-19,1d7d193fc2cad8c398ddd23468fc5e30784aa1498ccc0e7714e00f4db30227d5
Morpho,Immunefi,555555,0,0,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03,58308cd11cee6521dc65ec619b20a6b06117cde87e4fef03ecbafaff05b24003
Flux Finance,Immunefi,550000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-03-21,4898fe34aaa0862c0fcb67820a787d79ac80b71796a60119a3ca3c3f062f605a
StarkEx,Immunefi,1000000,0,0,"Solidity","DEX,Perpetuals","Defi","ETH","Smart Contract,Blockchain/DLT",2023-08-01,a6ae999d1f65c79b2495974a8dc8b6ebd8b3451576a84517f71d515dbaa3c387
Mynt and Zero,Immunefi,1000000,0,0,"Solidity","Stablecoin","Defi","RSK","Smart Contract,Websites and Applications",2023-06-16,ae9b7bdd09116b3acf11645c7adb24218da609f35c33ac3408890f7c96f9baf5
Kwenta,Immunefi,500000,0,0,"Solidity","Perpetuals,L2","Defi,Exchange","Terra,BSC,Polkadot,Cardano,Stacks","Smart Contract",2023-08-10,e0c74553c11c941d641677c136302a210942c019001a60b9c3d0047ae2eceacd
Threshold Network,Immunefi,500000,53000,1229,"Solidity","Synthetic Assets,Bug bounty,Staking,Crosschain Liquidity,Currency","Blockchain,Defi","ETH,Polygon,Optimism,Arbitrum","Smart Contract,Websites and Applications",2023-06-22,7c2507c70f6b60d9e3ff8a26aab1eaccd69a7de82a079ea17e3bb982ce014c03
Filecoin,Immunefi,500000,0,0,"Solidity,Rust","L1","Blockchain","","Blockchain/DLT",2023-04-14,5f1790c4da51727cc2797ad5fcfc40eba4740080f42883c9897c1878114ee45d
Davos,Immunefi,500000,0,0,"Solidity","Lending","Defi","Polygon","Smart Contract",2023-06-22,5ae47e48ea3a8806f3429d3ac51d845364eff54bbae789fbbdc264da5a58f05a
Decentraland,Immunefi,500000,0,0,"Solidity","","Defi","ETH,Polygon","Smart Contract,Websites and Applications",2023-02-01,6db6d056448830e5ee9f567ecb09075f06a081e0e081d7b3c18400fc13105e8a
Interlay,Immunefi,500000,208500,3413,"Rust","Crosschain Liquidity,Insurance","Defi","Polkadot","Smart Contract,Websites and Applications,Blockchain/DLT",2022-11-18,52b078abc466a095df078748dab7e48a8b2c51d6053632a117a7fa62a33064be
Helio,Immunefi,500000,0,0,"Solidity","Stablecoin,Lending,Yield Aggregator","Defi","BSC","Smart Contract",2022-10-24,2d8c8cd452a189e939e54eff5161e332ced2dd7708b7603180bd06a8be3227c4
Orca,Immunefi,500000,0,0,"Rust","Crosschain Liquidity,AMM","Defi","Solana","Smart Contract",2022-10-13,b27291962e8a993ce26a5595d98615381bfef6ee124eaecae8c8e8b5f55c0179
Wombat Exchange,Immunefi,500000,0,0,"Solidity","DEX,Crosschain Liquidity","Defi","BSC","Smart Contract,Websites and Applications",2022-10-16,b615895e740de939beefed449e630d9f876f41df2e5b0fd78746138ff6d14d62
Maple,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-06-24,dc095298db159e035acafdc1152cb4b0f2c02778f3ad3093e614257b9dc5ff8f
Port Finance,Immunefi,500000,0,0,"Rust","Lending","Defi","ETH,Solana,Terra","Smart Contract",2022-12-29,8d3d4df52cfb6b674a329998b56e87834fe62ce70bd9967c39169a771f37c9d6
Buttonwood,Immunefi,500000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2023-03-08,46b9c061e70f294026e4a7a70a491d15c3e0ad620b8a4f2f44a70cc70db0baa3
